Enh.chr,Enh.Midpoint,Gene.TSS,Pair,#HiC.interaction (astrocyte_cerebellum),#HiC.interaction (astrocyte_spinal),#HiC.interaction (NeuN+),#HiC.interaction (NeuN-)
1,9836072,10210805,Enh107_KIF1B,0,0,0,0
1,9836072,9539465,Enh107_SLC25A33,0,0,1,1
1,9836072,9687555,Enh107_PIK3CD-AS2,0,0,2,1
1,9836072,9943428,Enh107_NMNAT1,0,0,2,0
1,9836072,9588911,Enh107_TMEM201,1,0,2,1
1,9836072,9651731,Enh107_PIK3CD,0,0,1,3
1,9836072,9943407,Enh107_LZIC,0,0,2,0
1,9836072,10032832,Enh107_UBE4B,0,0,1,0
1,17532083,17539698,Enh23_ARHGEF10L,29,11,11,5
1,17532083,17054170,Enh23_SDHB,0,0,0,0
1,17532083,17439677,Enh23_RCC2,0,0,2,2
1,17532083,17189783,Enh23_LINC02783,2,0,0,0
1,20493973,20718017,Enh34_KIF17,0,0,1,1
1,20493973,20508151,Enh34_MUL1,1,0,14,11
1,20493973,20661544,Enh34_DDOST,0,0,1,0
1,20493973,20787323,Enh34_HP1BP3,0,0,0,0
1,20493973,20486210,Enh34_CAMK2N1,2,0,7,3
1,20493973,20732837,Enh34_SH2D5,0,0,0,0
1,20493973,20633458,Enh34_PINK1,0,0,2,1
1,20494512,20718017,Enh35_KIF17,0,0,1,1
1,20494512,20508151,Enh35_MUL1,1,0,14,11
1,20494512,20661544,Enh35_DDOST,0,0,1,0
1,20494512,20486210,Enh35_CAMK2N1,2,0,7,3
1,20494512,20633458,Enh35_PINK1,0,0,2,1
1,20494512,20732837,Enh35_SH2D5,0,0,0,0
1,20494512,20787323,Enh35_HP1BP3,0,0,0,0
1,22114559,21783606,Enh43_USP48,2,1,0,1
1,22114559,21937310,Enh43_HSPG2,2,0,1,1
1,22114559,22025511,Enh43_CDC42,3,0,1,1
1,22114559,22428838,Enh43_ZBTB40,0,0,2,0
1,22114559,22024558,Enh43_LINC00339,8,4,1,1
1,22114931,22024558,Enh44_LINC00339,8,4,1,1
1,22114931,21783606,Enh44_USP48,2,1,0,1
1,22114931,22428838,Enh44_ZBTB40,0,0,2,0
1,22114931,21937310,Enh44_HSPG2,2,0,1,1
1,22114931,22025511,Enh44_CDC42,3,0,1,1
1,23544892,23559501,Enh52_ID3,7,1,9,5
1,23544892,23743155,Enh52_ELOA,1,0,4,1
1,23544892,23368997,Enh52_ZNF436-AS1,1,0,0,0
1,23544892,23868294,Enh52_FUCA1,0,0,0,1
1,23544892,23838620,Enh52_HMGCL,1,0,0,1
1,23544892,23800781,Enh52_GALE,0,1,0,1
1,23544892,23484568,Enh52_ASAP3,0,0,6,1
1,23544892,23778296,Enh52_ELOA-AS1,1,0,0,0
1,23544892,23791145,Enh52_LYPLA2,1,1,3,1
1,23544892,23980927,Enh52_SRSF10,0,0,0,0
1,23544892,23344336,Enh52_HNRNPR,2,2,3,3
1,23544892,23424748,Enh52_TCEA3,7,1,5,0
1,23544892,23369836,Enh52_ZNF436,1,0,0,0
1,23544892,23956839,Enh52_PNRC2,1,1,0,0
1,23544892,23177808,Enh52_LUZP1,0,0,2,0
1,23544892,23691742,Enh52_RPL11,2,1,3,1
1,23544892,23287488,Enh52_LINC01355,0,0,0,1
1,23544892,23778418,Enh52_PITHD1,1,0,0,0
1,23554901,23691742,Enh53_RPL11,6,0,1,3
1,23554901,23369836,Enh53_ZNF436,2,1,2,0
1,23554901,23956839,Enh53_PNRC2,1,1,1,0
1,23554901,23177808,Enh53_LUZP1,0,0,0,0
1,23554901,23791145,Enh53_LYPLA2,3,1,0,0
1,23554901,23743155,Enh53_ELOA,0,0,2,0
1,23554901,23287488,Enh53_LINC01355,0,2,0,0
1,23554901,23368997,Enh53_ZNF436-AS1,2,1,2,0
1,23554901,23778296,Enh53_ELOA-AS1,1,1,2,0
1,23554901,23484568,Enh53_ASAP3,0,0,3,2
1,23554901,23344336,Enh53_HNRNPR,0,1,2,0
1,23554901,23980927,Enh53_SRSF10,0,0,1,0
1,23554901,23778418,Enh53_PITHD1,1,1,2,0
1,23554901,23838620,Enh53_HMGCL,2,0,0,0
1,23554901,23559501,Enh53_ID3,15,2,14,15
1,23554901,23424748,Enh53_TCEA3,2,2,0,2
1,23554901,23800781,Enh53_GALE,0,0,1,1
1,23554901,23868294,Enh53_FUCA1,0,0,1,0
1,23562476,23177808,Enh54_LUZP1,0,0,1,0
1,23562476,23980927,Enh54_SRSF10,1,0,0,1
1,23562476,23559501,Enh54_ID3,24,17,0,0
1,23562476,23838620,Enh54_HMGCL,0,0,0,0
1,23562476,23791145,Enh54_LYPLA2,2,0,1,0
1,23562476,23368997,Enh54_ZNF436-AS1,2,2,2,0
1,23562476,23956839,Enh54_PNRC2,1,1,1,0
1,23562476,23484568,Enh54_ASAP3,0,0,2,0
1,23562476,23691742,Enh54_RPL11,4,1,1,1
1,23562476,23868294,Enh54_FUCA1,0,0,0,0
1,23562476,23344336,Enh54_HNRNPR,3,0,2,1
1,23562476,23424748,Enh54_TCEA3,7,0,0,2
1,23562476,23800781,Enh54_GALE,1,1,1,0
1,23562476,23369836,Enh54_ZNF436,2,2,2,0
1,23562476,23778418,Enh54_PITHD1,5,2,2,0
1,23562476,23743155,Enh54_ELOA,0,0,1,0
1,23562476,23778296,Enh54_ELOA-AS1,5,2,2,0
1,23562476,23287488,Enh54_LINC01355,0,0,0,1
1,24018988,23559501,Enh55_ID3,1,1,2,0
1,24018988,23778296,Enh55_ELOA-AS1,2,0,1,0
1,24018988,23778418,Enh55_PITHD1,2,0,1,0
1,24018988,23838620,Enh55_HMGCL,3,0,2,2
1,24018988,23980927,Enh55_SRSF10,6,3,1,0
1,24018988,23791145,Enh55_LYPLA2,4,4,2,2
1,24018988,23868294,Enh55_FUCA1,0,0,1,1
1,24018988,23956839,Enh55_PNRC2,7,3,0,2
1,24018988,23800781,Enh55_GALE,2,2,2,1
1,24018988,23691742,Enh55_RPL11,1,2,0,0
1,24018988,24415802,Enh55_NIPAL3,4,2,1,0
1,24018988,24502351,Enh55_RCAN3,3,2,1,1
1,24018988,24416934,Enh55_STPG1,4,2,1,0
1,24018988,23743155,Enh55_ELOA,0,0,1,0
1,24290198,23791145,Enh56_LYPLA2,0,0,0,0
1,24290198,23956839,Enh56_PNRC2,3,0,1,1
1,24290198,24415802,Enh56_NIPAL3,4,2,3,1
1,24290198,24631716,Enh56_SRRM1,2,1,0,1
1,24290198,24416934,Enh56_STPG1,4,2,3,1
1,24290198,23800781,Enh56_GALE,0,0,0,0
1,24290198,23838620,Enh56_HMGCL,0,1,0,0
1,24290198,24502351,Enh56_RCAN3,3,0,0,0
1,24290198,24745382,Enh56_CLIC4,0,0,0,0
1,24290198,23868294,Enh56_FUCA1,0,0,0,0
1,24290198,23980927,Enh56_SRSF10,0,0,0,0
1,24724685,24745382,Enh62_CLIC4,0,0,10,5
1,24724685,24631716,Enh62_SRRM1,0,0,1,2
1,24724685,24415802,Enh62_NIPAL3,0,0,0,0
1,24724685,24416934,Enh62_STPG1,0,0,0,0
1,24724685,24502351,Enh62_RCAN3,0,0,1,0
1,24736048,24502351,Enh63_RCAN3,0,0,1,0
1,24736048,24416934,Enh63_STPG1,0,0,0,0
1,24736048,25232502,Enh63_SYF2,0,0,0,0
1,24736048,24415802,Enh63_NIPAL3,0,0,0,0
1,24736048,24745382,Enh63_CLIC4,0,0,11,7
1,24736048,24631716,Enh63_SRRM1,0,0,1,1
1,24848432,24502351,Enh64_RCAN3,0,1,1,1
1,24848432,24631716,Enh64_SRRM1,0,0,2,2
1,24848432,25338213,Enh64_RSRP1,0,0,0,0
1,24848432,24415802,Enh64_NIPAL3,0,0,1,0
1,24848432,24745382,Enh64_CLIC4,0,0,2,1
1,24848432,25338317,Enh64_TMEM50A,0,0,0,0
1,24848432,24416934,Enh64_STPG1,0,0,1,0
1,24848432,25232502,Enh64_SYF2,0,0,1,4
1,25198978,24745382,Enh65_CLIC4,0,0,2,0
1,25198978,25543580,Enh65_LDLRAP1,2,0,1,1
1,25198978,25232502,Enh65_SYF2,1,0,3,3
1,25198978,25430858,Enh65_MACO1,0,0,0,0
1,25198978,25338213,Enh65_RSRP1,0,0,2,1
1,25198978,25338317,Enh65_TMEM50A,0,0,2,1
1,25922675,25998117,Enh66_PAFAH2,7,3,4,4
1,25922675,26111165,Enh66_PDIK1L,0,2,0,2
1,25922675,25543580,Enh66_LDLRAP1,0,0,1,1
1,25922675,26169908,Enh66_ZNF593,1,0,1,1
1,25922675,25906991,Enh66_STMN1,10,7,6,10
1,25922675,26318363,Enh66_UBXN11,0,1,1,0
1,25922675,26280086,Enh66_SH3BGRL3,1,0,0,0
1,25922675,25871253,Enh66_PAQR7,0,0,6,2
1,25922675,25818640,Enh66_MTFR1L,0,0,0,4
1,25922675,26317958,Enh66_CD52,0,1,1,0
1,25922675,25430858,Enh66_MACO1,2,0,0,1
1,25922675,25800176,Enh66_SELENON,0,0,4,0
1,25922675,26234200,Enh66_CEP85,0,0,2,1
1,26500290,26472440,Enh67_HMGN2,0,0,1,1
1,26500290,26318363,Enh67_UBXN11,0,0,2,0
1,26500290,26317958,Enh67_CD52,0,0,2,0
1,26500290,26787472,Enh67_PIGV,0,0,0,1
1,26500290,26693236,Enh67_ARID1A,1,0,2,1
1,26500290,26890283,Enh67_GPN2,0,0,2,0
1,26500290,26993692,Enh67_TRNP1,0,0,2,1
1,26500290,26432282,Enh67_DHDDS,0,0,2,1
1,26500290,26111165,Enh67_PDIK1L,0,0,0,2
1,26500290,26169908,Enh67_ZNF593,0,0,0,2
1,26500290,26900467,Enh67_GPATCH3,0,0,2,0
1,26500290,26826688,Enh67_ZDHHC18,0,0,1,3
1,26500290,26900238,Enh67_NUDC,0,0,2,0
1,26500290,26280086,Enh67_SH3BGRL3,0,0,3,0
1,26500290,26529761,Enh67_RPS6KA1,0,0,17,5
1,26500290,26234200,Enh67_CEP85,0,0,2,0
1,26501037,26234200,Enh68_CEP85,0,0,2,0
1,26501037,26900467,Enh68_GPATCH3,0,0,2,0
1,26501037,26826688,Enh68_ZDHHC18,0,0,1,3
1,26501037,26280086,Enh68_SH3BGRL3,0,0,3,0
1,26501037,26693236,Enh68_ARID1A,1,0,2,1
1,26501037,26890283,Enh68_GPN2,0,0,2,0
1,26501037,26529761,Enh68_RPS6KA1,0,0,17,5
1,26501037,26787472,Enh68_PIGV,0,0,0,1
1,26501037,26169908,Enh68_ZNF593,0,0,0,2
1,26501037,26318363,Enh68_UBXN11,0,0,2,0
1,26501037,26317958,Enh68_CD52,0,0,2,0
1,26501037,26111165,Enh68_PDIK1L,0,0,0,2
1,26501037,26900238,Enh68_NUDC,0,0,2,0
1,26501037,26432282,Enh68_DHDDS,0,0,2,1
1,26501037,26993692,Enh68_TRNP1,0,0,2,1
1,26501037,26472440,Enh68_HMGN2,0,0,1,1
1,26620404,26826688,Enh69_ZDHHC18,5,0,8,3
1,26620404,26890283,Enh69_GPN2,0,0,0,3
1,26620404,26787472,Enh69_PIGV,19,7,6,3
1,26620404,26234200,Enh69_CEP85,0,0,0,1
1,26620404,26529761,Enh69_RPS6KA1,2,3,4,1
1,26620404,26318363,Enh69_UBXN11,1,1,1,0
1,26620404,26993692,Enh69_TRNP1,1,1,1,0
1,26620404,26317958,Enh69_CD52,1,1,1,0
1,26620404,26280086,Enh69_SH3BGRL3,0,0,3,0
1,26620404,26900238,Enh69_NUDC,6,1,1,1
1,26620404,26900467,Enh69_GPATCH3,6,1,1,1
1,26620404,26169908,Enh69_ZNF593,2,1,1,1
1,26620404,26432282,Enh69_DHDDS,0,0,1,1
1,26620404,26693236,Enh69_ARID1A,13,8,10,9
1,26620404,26472440,Enh69_HMGN2,0,0,3,1
1,26621250,26318363,Enh70_UBXN11,1,1,1,0
1,26621250,26432282,Enh70_DHDDS,0,0,1,1
1,26621250,26234200,Enh70_CEP85,0,0,0,1
1,26621250,26693236,Enh70_ARID1A,13,8,10,9
1,26621250,26993692,Enh70_TRNP1,1,1,1,0
1,26621250,26826688,Enh70_ZDHHC18,5,0,8,3
1,26621250,26169908,Enh70_ZNF593,2,1,1,1
1,26621250,26317958,Enh70_CD52,1,1,1,0
1,26621250,26280086,Enh70_SH3BGRL3,0,0,3,0
1,26621250,26900467,Enh70_GPATCH3,6,1,1,1
1,26621250,26472440,Enh70_HMGN2,0,0,3,1
1,26621250,26529761,Enh70_RPS6KA1,2,3,4,1
1,26621250,26900238,Enh70_NUDC,6,1,1,1
1,26621250,26890283,Enh70_GPN2,0,0,0,3
1,26621250,26787472,Enh70_PIGV,19,7,6,3
1,27031752,26826688,Enh71_ZDHHC18,1,0,2,0
1,27031752,27490167,Enh71_WASF2,0,0,1,0
1,27031752,26993692,Enh71_TRNP1,10,1,5,1
1,27031752,26900467,Enh71_GPATCH3,6,3,1,2
1,27031752,26890283,Enh71_GPN2,0,0,1,1
1,27031752,27166981,Enh71_SLC9A1,0,0,2,1
1,27031752,27322145,Enh71_TMEM222,1,1,1,3
1,27031752,26693236,Enh71_ARID1A,2,2,0,0
1,27031752,26900238,Enh71_NUDC,6,3,1,2
1,27031752,27366961,Enh71_MAP3K6,0,0,5,2
1,27031752,26787472,Enh71_PIGV,3,2,0,0
1,27031752,27234632,Enh71_WDTC1,1,3,1,1
1,27071257,27366961,Enh72_MAP3K6,0,0,2,0
1,27071257,26890283,Enh72_GPN2,0,0,1,0
1,27071257,26900238,Enh72_NUDC,1,0,1,0
1,27071257,26993692,Enh72_TRNP1,1,1,2,0
1,27071257,27322145,Enh72_TMEM222,0,2,0,0
1,27071257,26787472,Enh72_PIGV,0,0,0,0
1,27071257,27490167,Enh72_WASF2,0,1,1,0
1,27071257,26900467,Enh72_GPATCH3,1,0,1,0
1,27071257,27166981,Enh72_SLC9A1,0,0,1,0
1,27071257,27234632,Enh72_WDTC1,2,2,0,2
1,27071257,26693236,Enh72_ARID1A,0,1,1,0
1,27071257,26826688,Enh72_ZDHHC18,0,0,0,0
1,38029253,37793802,Enh74_MANEAL,0,0,0,0
1,38029253,37554293,Enh74_SNIP1,0,0,1,0
1,38029253,38009258,Enh74_UTP11,0,0,6,4
1,38029253,37947057,Enh74_INPP5B,0,0,3,3
1,38029253,37556919,Enh74_DNALI1,1,0,1,0
1,38029253,37806979,Enh74_C1orf122,0,0,0,0
1,38029253,37692481,Enh74_CDCA8,0,0,2,0
1,38029253,37990075,Enh74_SF3A3,0,0,2,2
1,38029253,37808208,Enh74_YRDC,0,0,0,0
1,38029253,38005606,Enh74_FHL3,0,0,6,4
1,38029253,37692249,Enh74_C1orf109,0,0,2,0
1,38029253,37859592,Enh74_MTF1,1,0,1,0
1,38029253,37595937,Enh74_GNL2,0,0,2,1
1,41432914,41242154,Enh75_SCMH1,0,0,4,1
1,41432914,40979688,Enh75_CTPS1,2,0,1,1
1,41496383,41242154,Enh76_SCMH1,0,0,0,0
1,42173532,42335877,Enh77_FOXJ3,9,1,3,1
1,42173532,42463221,Enh77_CCDC30,3,2,0,1
1,42173532,42658423,Enh77_PPIH,0,0,1,0
1,42173532,42035925,Enh77_HIVEP3,0,0,2,2
1,42173532,42456117,Enh77_PPCS,11,4,2,1
1,43294683,43650149,Enh78_KDM4A,0,0,0,0
1,43294683,43270936,Enh78_EBNA1BP2,0,0,5,4
1,43294683,43708138,Enh78_KDM4A-AS1,3,1,1,0
1,43294683,43525187,Enh78_PTPRF,0,1,0,1
1,43294683,42817397,Enh78_SVBP,4,0,1,1
1,43294683,42846422,Enh78_AL512353.1,1,1,2,0
1,43294683,42817122,Enh78_ERMAP,4,0,1,1
1,43294683,43453989,Enh78_HYI,0,0,3,1
1,43294683,42959049,Enh78_SLC2A1-AS1,0,0,0,1
1,43294683,43368074,Enh78_ELOVL1,4,1,6,1
1,43294683,42958868,Enh78_SLC2A1,0,0,0,1
1,43294683,43705824,Enh78_ST3GAL3,3,1,1,0
1,43294683,43389808,Enh78_MED8,3,1,2,1
1,43294683,43389882,Enh78_SZT2,3,1,2,1
1,43294683,42846573,Enh78_ZNF691,1,1,2,0
1,43294683,43358981,Enh78_CDC20,5,1,5,4
1,47533256,47314147,Enh79_STIL,0,0,0,0
1,47533256,47333797,Enh79_CMPK1,3,1,1,1
1,47710670,47333797,Enh80_CMPK1,3,1,0,1
1,47710670,47314147,Enh80_STIL,1,0,3,0
1,48494432,48472208,Enh81_SPATA6,0,0,8,2
1,50977313,50960745,Enh84_CDKN2C,8,2,11,6
1,50977313,50960267,Enh84_FAF1,8,2,11,6
1,50977313,51345116,Enh84_TTC39A,1,1,1,0
1,50977313,51236273,Enh84_RNF11,1,0,4,0
1,50977926,51345116,Enh85_TTC39A,1,1,1,0
1,50977926,50960267,Enh85_FAF1,8,2,11,6
1,50977926,51236273,Enh85_RNF11,1,0,4,0
1,50977926,50960745,Enh85_CDKN2C,8,2,11,6
1,50978336,51236273,Enh86_RNF11,1,0,4,0
1,50978336,50960267,Enh86_FAF1,8,2,11,6
1,50978336,51345116,Enh86_TTC39A,1,1,1,0
1,50978336,50960745,Enh86_CDKN2C,8,2,11,6
1,52703095,52927212,Enh87_ECHDC2,0,1,6,1
1,52703095,52698347,Enh87_COA7,7,4,23,19
1,52703095,52366193,Enh87_CC2D1B,3,2,2,2
1,52703095,52602371,Enh87_GPX7,1,0,3,2
1,52703095,53062052,Enh87_PODN,0,0,0,1
1,52703095,52927276,Enh87_SCP2,0,1,6,1
1,52703095,52404602,Enh87_PRPF38A,2,2,1,3
1,52703095,52553487,Enh87_TUT4,0,0,0,1
1,52703095,53196792,Enh87_CPT2,0,0,3,2
1,52703095,52726453,Enh87_ZYG11B,8,0,11,6
1,52703417,52366193,Enh88_CC2D1B,3,2,2,2
1,52703417,52927276,Enh88_SCP2,0,1,6,1
1,52703417,52553487,Enh88_TUT4,0,0,0,1
1,52703417,52927212,Enh88_ECHDC2,0,1,6,1
1,52703417,52726453,Enh88_ZYG11B,8,0,11,6
1,52703417,52698347,Enh88_COA7,7,4,23,19
1,52703417,53062052,Enh88_PODN,0,0,0,1
1,52703417,52602371,Enh88_GPX7,1,0,3,2
1,52703417,52404602,Enh88_PRPF38A,2,2,1,3
1,52703417,53196792,Enh88_CPT2,0,0,3,2
1,54488382,54715861,Enh89_TTC4,7,1,3,0
1,54488382,54200036,Enh89_CYB5RL,10,5,4,2
1,54488382,54053584,Enh89_TCEANC2,5,4,2,2
1,54488382,54764523,Enh89_PARS2,1,2,1,1
1,54488382,54887195,Enh89_DHCR24,3,0,0,0
1,54488382,54413479,Enh89_SSBP3,31,8,13,10
1,54488382,54184041,Enh89_MRPL37,11,1,0,0
1,54488382,54053504,Enh89_TMEM59,5,4,2,2
1,54489460,54715861,Enh90_TTC4,7,1,1,0
1,54489460,54413479,Enh90_SSBP3,31,8,6,7
1,54489460,54184041,Enh90_MRPL37,11,1,2,2
1,54489460,54764523,Enh90_PARS2,1,2,2,0
1,54489460,54200036,Enh90_CYB5RL,10,5,3,4
1,54489460,54053584,Enh90_TCEANC2,5,4,2,2
1,54489460,54887195,Enh90_DHCR24,3,0,0,0
1,54489460,54053504,Enh90_TMEM59,5,4,2,2
1,54950321,54715861,Enh91_TTC4,0,0,1,1
1,54950321,55215364,Enh91_USP24,0,0,3,1
1,54950321,54887195,Enh91_DHCR24,4,0,3,3
1,54950321,54764523,Enh91_PARS2,3,0,1,1
1,54950894,54764523,Enh92_PARS2,3,0,1,1
1,54950894,54887195,Enh92_DHCR24,4,0,3,3
1,54950894,54715861,Enh92_TTC4,0,0,1,1
1,54950894,55215364,Enh92_USP24,0,0,3,1
1,58773606,58700077,Enh93_MYSM1,0,0,1,0
1,58773606,58784047,Enh93_JUN,0,0,3,6
1,58773606,58546802,Enh93_OMA1,0,0,1,0
1,65687875,65420652,Enh94_LEPR,1,1,2,2
1,65687875,65248219,Enh94_DNAJC6,8,3,0,0
1,65687875,65420587,Enh94_LEPROT,1,1,2,2
1,84254088,83999150,Enh95_TTLL7,0,0,2,0
1,84254088,84078062,Enh95_PRKACB,0,0,1,1
1,84254088,84690803,Enh95_SSX2IP,0,0,1,0
1,84254088,84506581,Enh95_GNG5,0,0,1,3
1,84254088,84479259,Enh95_RPF1,0,0,1,2
1,84254088,84574480,Enh95_CTBS,1,0,0,1
1,84599254,84479259,Enh96_RPF1,3,2,2,3
1,84599254,84506581,Enh96_GNG5,4,1,1,2
1,84599254,84574480,Enh96_CTBS,7,5,5,9
1,84599254,84690803,Enh96_SSX2IP,10,1,1,3
1,84599254,84999147,Enh96_WDR63,2,1,0,1
1,84599254,85048500,Enh96_MCOLN3,0,0,0,0
1,84599655,84574480,Enh97_CTBS,7,5,5,1
1,84599655,85048500,Enh97_MCOLN3,0,0,0,0
1,84599655,84690803,Enh97_SSX2IP,10,1,4,2
1,84599655,84479259,Enh97_RPF1,3,2,2,3
1,84599655,84506581,Enh97_GNG5,4,1,5,1
1,84599655,84999147,Enh97_WDR63,2,1,0,0
1,84619565,84690803,Enh98_SSX2IP,12,5,2,1
1,84619565,84479259,Enh98_RPF1,2,5,5,1
1,84619565,85048500,Enh98_MCOLN3,0,0,0,0
1,84619565,84506581,Enh98_GNG5,2,0,3,2
1,84619565,84574480,Enh98_CTBS,13,4,4,1
1,84619565,84999147,Enh98_WDR63,2,0,0,1
1,84620945,84690803,Enh99_SSX2IP,11,8,2,1
1,84620945,84506581,Enh99_GNG5,5,5,3,2
1,84620945,84999147,Enh99_WDR63,1,1,0,1
1,84620945,84574480,Enh99_CTBS,11,4,4,1
1,84620945,84479259,Enh99_RPF1,15,1,5,1
1,84620945,85048500,Enh99_MCOLN3,0,0,0,0
1,84753694,85048500,Enh100_MCOLN3,1,0,0,0
1,84753694,84574480,Enh100_CTBS,5,3,2,2
1,84753694,84479259,Enh100_RPF1,13,3,5,6
1,84753694,85201016,Enh100_SYDE2,0,0,0,0
1,84753694,84506581,Enh100_GNG5,5,2,0,2
1,84753694,84999147,Enh100_WDR63,6,0,2,1
1,84753694,84690803,Enh100_SSX2IP,25,1,2,7
1,84759140,85201016,Enh101_SYDE2,0,0,1,0
1,84759140,84999147,Enh101_WDR63,2,2,0,1
1,84759140,84690803,Enh101_SSX2IP,10,2,0,3
1,84759140,85048500,Enh101_MCOLN3,0,0,0,0
1,84759140,84506581,Enh101_GNG5,1,0,1,1
1,84759140,84479259,Enh101_RPF1,3,2,1,1
1,84759140,84574480,Enh101_CTBS,3,3,1,1
1,112388652,112707434,Enh1_RHOC,0,0,6,1
1,112388652,112619805,Enh1_CAPZA1,7,0,10,3
1,112388652,112466541,Enh1_WNT2B,3,3,4,3
1,112388652,112620825,Enh1_ST7L,1,0,10,3
1,112388652,112396214,Enh1_CTTNBP2NL,0,0,12,17
1,112388652,112849821,Enh1_LINC01357,1,0,1,0
1,112388652,112673141,Enh1_MOV10,0,0,1,0
1,112391043,112619805,Enh2_CAPZA1,8,5,10,3
1,112391043,112396214,Enh2_CTTNBP2NL,2,1,12,17
1,112391043,112466541,Enh2_WNT2B,4,2,4,3
1,112391043,112849821,Enh2_LINC01357,0,0,1,0
1,112391043,112673141,Enh2_MOV10,0,1,1,0
1,112391043,112620825,Enh2_ST7L,2,1,10,3
1,112391043,112707434,Enh2_RHOC,1,0,6,1
1,113140730,113073198,Enh3_LRIG2,0,0,3,0
1,113140730,112673141,Enh3_MOV10,0,0,1,0
1,113140730,113390515,Enh3_MAGI3,0,0,1,4
1,113140730,112957013,Enh3_SLC16A1,0,0,2,0
1,113140730,112956415,Enh3_SLC16A1-AS1,0,0,2,0
1,113140730,112849821,Enh3_LINC01357,0,0,0,1
1,113140730,112707434,Enh3_RHOC,0,0,0,0
1,114346366,114758676,Enh4_CSDE1,1,0,0,0
1,114346366,113905201,Enh4_AP4B1,0,0,1,1
1,114346366,114716771,Enh4_NRAS,0,0,1,0
1,114346366,113979391,Enh4_OLFML3,1,0,1,3
1,114346366,114511203,Enh4_TRIM33,0,0,1,1
1,114346366,113905213,Enh4_DCLRE1B,0,0,1,1
1,114346366,114780685,Enh4_SIKE1,0,0,0,1
1,114346366,114581629,Enh4_BCAS2,0,0,0,4
1,114346366,113929324,Enh4_HIPK1,0,0,0,0
1,114346366,114670422,Enh4_DENND2C,0,1,1,1
1,114346689,113905201,Enh5_AP4B1,0,0,1,1
1,114346689,114581629,Enh5_BCAS2,0,0,0,4
1,114346689,114716771,Enh5_NRAS,0,0,1,0
1,114346689,114511203,Enh5_TRIM33,0,0,1,1
1,114346689,114758676,Enh5_CSDE1,1,0,0,0
1,114346689,114780685,Enh5_SIKE1,0,0,0,1
1,114346689,113979391,Enh5_OLFML3,1,0,1,3
1,114346689,114670422,Enh5_DENND2C,0,1,1,1
1,114346689,113905213,Enh5_DCLRE1B,0,0,1,1
1,114346689,113929324,Enh5_HIPK1,0,0,0,0
1,116139206,116372668,Enh6_ATP1A1,0,0,1,2
1,116139206,116418635,Enh6_ATP1A1-AS1,0,1,0,0
