chr,start,end,id,abs_summit,pileup,-LOG10(pvalue),fold_enrichment,-LOG10(qvalue),name,GENCODE32,Full.Brain,Rizz.Brain,Song.Cult,Trev.HCS,TAD,PE,cpm,high.cpm,nRep
chr1,84253923,84254253,chr1:84253923-84254253,84254116,413,508.19821,40.14736,503.91827,NHA_ATAC_S3.filtered.BAM_peak_10034,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17.4701120434849,TRUE,4
chr1,84599129,84599380,chr1:84599129-84599380,84599274,195,174.71017,17.95574,171.81224,NHA_ATAC_S3.filtered.BAM_peak_10078,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,8.24860011738392,TRUE,2
chr1,84599560,84599751,chr1:84599560-84599751,84599661,156,121.4757,13.49682,118.80898,NHA_ATAC_S3.filtered.BAM_peak_10079,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,6.59888009390714,TRUE,2
chr1,84619430,84619701,chr1:84619430-84619701,84619550,298,292.55316,22.66592,289.17151,NHA_ATAC_S3.filtered.BAM_peak_10083,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,12.6055529998995,TRUE,3
chr1,84620675,84621215,chr1:84620675-84621215,84621057,227,196.95316,17.13701,193.96228,NHA_ATAC_S3.filtered.BAM_peak_10084,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,9.60221654690334,TRUE,3
chr1,84753559,84753828,chr1:84753559-84753828,84753700,239,320.95288,46.19278,317.45618,NHA_ATAC_S3.filtered.BAM_peak_10099,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10.1098227079731,TRUE,3
chr1,84758887,84759393,chr1:84758887-84759393,84759089,76,73.81061,17.5488,71.37996,NHA_ATAC_S3.filtered.BAM_peak_10100,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3.21483902010861,TRUE,2
chr1,112388505,112388800,chr1:112388505-112388800,112388696,113,79.64592,10.99026,77.18351,NHA_ATAC_S3.filtered.BAM_peak_12446,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4.77995801674043,TRUE,2
chr1,112390877,112391209,chr1:112390877-112391209,112391037,245,164.98314,10.99097,162.1264,NHA_ATAC_S3.filtered.BAM_peak_12447,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10.363625788508,TRUE,3
chr1,113140645,113140815,chr1:113140645-113140815,113140716,137,140.43008,22.30885,137.67883,NHA_ATAC_S3.filtered.BAM_peak_12582,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5.79517033887999,TRUE,3
chr1,114346305,114346428,chr1:114346305-114346428,114346366,51,26.21017,6.29059,24.11537,NHA_ATAC_S3.filtered.BAM_peak_12698,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.15732618454656,TRUE,3
chr1,114346542,114346835,chr1:114346542-114346835,114346689,396,521.30121,47.80016,516.96509,NHA_ATAC_S3.filtered.BAM_peak_12699,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16.7510033153027,TRUE,3
chr1,116139067,116139346,chr1:116139067-116139346,116139249,174,243.56567,47.2224,240.38329,NHA_ATAC_S3.filtered.BAM_peak_12909,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,7.36028933551181,TRUE,3
chr1,116152071,116152365,chr1:116152071-116152365,116152219,339,462.78751,51.52687,458.70203,NHA_ATAC_S3.filtered.BAM_peak_12910,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14.3398740502213,TRUE,4
chr1,116168429,116168662,chr1:116168429-116168662,116168563,165,191.40143,30.15994,188.43347,NHA_ATAC_S3.filtered.BAM_peak_12913,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,6.97958471470947,TRUE,3
chr1,116878057,116878640,chr1:116878057-116878640,116878332,92,76.6331,14.01111,74.18693,NHA_ATAC_S3.filtered.BAM_peak_12997,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3.89164723486831,TRUE,2
chr1,117128696,117128960,chr1:117128696-117128960,117128813,86,102.01869,26.45251,99.44305,NHA_ATAC_S3.filtered.BAM_peak_13047,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3.63784415433342,TRUE,2
chr1,150532626,150532816,chr1:150532626-150532816,150532717,156,130.09708,15.2571,127.39155,NHA_ATAC_S3.filtered.BAM_peak_13700,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,6.59888009390714,TRUE,3
chr1,150979567,150979757,chr1:150979567-150979757,150979642,132,54.96544,5.54119,52.64714,NHA_ATAC_S3.filtered.BAM_peak_13769,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.58366777176758,TRUE,4
chr1,151494712,151495132,chr1:151494712-151495132,151495065,51,53.87713,17.74603,51.56477,NHA_ATAC_S3.filtered.BAM_peak_13856,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2.15732618454656,TRUE,3
chr1,154999196,154999346,chr1:154999196-154999346,154999256,211,93.74029,6.13724,91.20526,NHA_ATAC_S3.filtered.BAM_peak_14247,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,8.92540833214363,TRUE,2
chr1,155094391,155094678,chr1:155094391-155094678,155094535,105,101.04775,18.66946,98.47706,NHA_ATAC_S3.filtered.BAM_peak_14276,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4.44155390936058,TRUE,2
chr1,156505011,156505179,chr1:156505011-156505179,156505088,123,34.58586,3.78281,32.41573,NHA_ATAC_S3.filtered.BAM_peak_14535,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.20296315096525,TRUE,4
chr1,156505282,156505616,chr1:156505282-156505616,156505427,195,85.60787,6.02801,83.11478,NHA_ATAC_S3.filtered.BAM_peak_14536,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,8.24860011738392,TRUE,3
chr1,160101101,160101332,chr1:160101101-160101332,160101193,167,108.94453,10.15702,106.33591,NHA_ATAC_S3.filtered.BAM_peak_14842,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,7.06418574155444,TRUE,3
chr1,160109047,160109207,chr1:160109047-160109207,160109102,65,70.72507,20.44542,68.3116,NHA_ATAC_S3.filtered.BAM_peak_14843,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2.74953337246131,TRUE,3
chr1,160376610,160376788,chr1:160376610-160376788,160376705,149,154.33937,23.15928,151.52789,NHA_ATAC_S3.filtered.BAM_peak_14899,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,6.30277649994977,TRUE,3
chr1,165073490,165073675,chr1:165073490-165073675,165073598,97,113.71262,26.88568,111.08162,NHA_ATAC_S3.filtered.BAM_peak_15443,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4.10314980198072,TRUE,3
chr1,170563083,170563283,chr1:170563083-170563283,170563189,105,113.88489,23.55194,111.25309,NHA_ATAC_S3.filtered.BAM_peak_15924,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4.44155390936058,TRUE,2
chr1,175885358,175885563,chr1:175885358-175885563,175885464,62,54.51148,13.99785,52.19567,NHA_ATAC_S3.filtered.BAM_peak_16420,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2.62263183219386,TRUE,2
chr1,183609325,183609585,chr1:183609325-183609585,183609458,149,107.50416,11.79816,104.90247,NHA_ATAC_S3.filtered.BAM_peak_17239,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,6.30277649994977,TRUE,3
chr1,199083693,199083885,chr1:199083693-199083885,199083805,120,151.01714,33.23519,148.21988,NHA_ATAC_S3.filtered.BAM_peak_18298,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5.0760616106978,TRUE,2
chr1,202085966,202086296,chr1:202085966-202086296,202086049,60,53.34711,14.12602,51.03916,NHA_ATAC_S3.filtered.BAM_peak_18768,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2.5380308053489,TRUE,3
chr1,203327366,203327668,chr1:203327366-203327668,203327483,255,272.24283,26.84969,268.94382,NHA_ATAC_S3.filtered.BAM_peak_18955,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10.7866309227328,TRUE,3
chr1,203327856,203328068,chr1:203327856-203328068,203327974,90,61.59937,10.16469,59.23914,NHA_ATAC_S3.filtered.BAM_peak_18956,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3.80704620802335,TRUE,3
chr1,203408574,203408750,chr1:203408574-203408750,203408671,103,129.9325,31.78931,127.2277,NHA_ATAC_S3.filtered.BAM_peak_18965,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4.35695288251561,TRUE,2
chr1,203512788,203513193,chr1:203512788-203513193,203512942,477,441.37735,20.64339,437.38245,NHA_ATAC_S3.filtered.BAM_peak_18983,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,20.1773449025238,TRUE,2
chr1,203514047,203514507,chr1:203514047-203514507,203514160,263,184.91324,11.85269,181.97235,NHA_ATAC_S3.filtered.BAM_peak_18984,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,11.1250350301127,TRUE,3
chr1,203558319,203558787,chr1:203558319-203558787,203558620,350,192.60042,8.25458,189.6275,NHA_ATAC_S3.filtered.BAM_peak_19000,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,14.8051796978686,TRUE,2
chr1,209875399,209875810,chr1:209875399-209875810,209875712,277,301.17685,28.28105,297.75998,NHA_ATAC_S3.filtered.BAM_peak_19922,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,11.7172422180274,TRUE,3
chr1,209883156,209883798,chr1:209883156-209883798,209883432,254,187.49834,12.84924,184.54655,NHA_ATAC_S3.filtered.BAM_peak_19923,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10.7443304093103,TRUE,3
chr1,209884352,209884526,chr1:209884352-209884526,209884455,134,66.53644,6.82045,64.14729,NHA_ATAC_S3.filtered.BAM_peak_19924,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5.66826879861254,TRUE,3
chr1,210250747,210250961,chr1:210250747-210250961,210250839,91,51.00433,7.66568,48.71229,NHA_ATAC_S3.filtered.BAM_peak_19973,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.84934672144583,TRUE,4
chr1,210251168,210251868,chr1:210251168-210251868,210251365,225,204.9158,18.84454,201.89223,NHA_ATAC_S3.filtered.BAM_peak_19974,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9.51761552005837,TRUE,4
chr1,210262151,210262290,chr1:210262151-210262290,210262239,117,62.25207,7.36022,59.88844,NHA_ATAC_S3.filtered.BAM_peak_19977,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4.94916007043035,TRUE,2
chr1,210262514,210263249,chr1:210262514-210263249,210262752,212,162.35078,13.5128,159.50523,NHA_ATAC_S3.filtered.BAM_peak_19978,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,8.96770884556611,TRUE,2
chr1,226815022,226815458,chr1:226815022-226815458,226815147,177,180.09941,22.96931,177.1787,NHA_ATAC_S3.filtered.BAM_peak_21793,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,7.48719087577925,TRUE,2
chr1,227542217,227542888,chr1:227542217-227542888,227542746,427,540.7829,43.48296,536.36383,NHA_ATAC_S3.filtered.BAM_peak_21861,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,18.0623192313997,TRUE,4
chr1,228842145,228842529,chr1:228842145-228842529,228842427,157,192.63298,33.83241,189.6599,NHA_ATAC_S3.filtered.BAM_peak_21999,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6.64118060732962,TRUE,4
chr1,228902899,228903460,chr1:228902899-228903460,228903311,249,249.84085,23.32974,246.633,NHA_ATAC_S3.filtered.BAM_peak_22007,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10.5328278421979,TRUE,4
chr1,229694177,229694606,chr1:229694177-229694606,229694439,56,53.34912,15.48993,51.04115,NHA_ATAC_S3.filtered.BAM_peak_22100,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2.36882875165897,TRUE,2
chr1,232629888,232630927,chr1:232629888-232630927,232630205,581,607.61023,27.49143,602.90796,NHA_ATAC_S3.filtered.BAM_peak_22486,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24.5765982984618,TRUE,4
chr1,232704665,232705115,chr1:232704665-232705115,232704991,128,155.32188,31.32223,152.50618,NHA_ATAC_S3.filtered.BAM_peak_22496,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5.41446571807765,TRUE,3
chr1,244273127,244273283,chr1:244273127-244273283,244273238,65,37.2745,7.52181,35.0823,NHA_ATAC_S3.filtered.BAM_peak_23540,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2.74953337246131,TRUE,3
chr1,244273653,244274128,chr1:244273653-244274128,244273973,205,209.45142,23.67639,206.40921,NHA_ATAC_S3.filtered.BAM_peak_23541,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,8.67160525160874,TRUE,3
chr1,244274330,244274550,chr1:244274330-244274550,244274464,93,66.18017,10.84711,63.79284,NHA_ATAC_S3.filtered.BAM_peak_23542,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3.93394774829079,TRUE,3
chr1,244299494,244299751,chr1:244299494-244299751,244299604,135,117.17079,16.09707,114.52376,NHA_ATAC_S3.filtered.BAM_peak_23546,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.71056931203502,TRUE,4
chr1,244341793,244342128,chr1:244341793-244342128,244341989,118,126.33568,23.61459,123.64693,NHA_ATAC_S3.filtered.BAM_peak_23552,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.99146058385284,TRUE,4
chr10,30785207,30785546,chr10:30785207-30785546,30785407,249,213.58334,16.90338,210.52415,NHA_ATAC_S3.filtered.BAM_peak_27118,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10.5328278421979,TRUE,4
chr10,70664183,70664334,chr10:70664183-70664334,70664233,65,29.37375,5.64222,27.24976,NHA_ATAC_S3.filtered.BAM_peak_30242,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2.74953337246131,TRUE,2
chr10,90931002,90931592,chr10:90931002-90931592,90931339,176,107.72216,9.26354,105.11951,NHA_ATAC_S3.filtered.BAM_peak_32377,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,7.44489036235677,TRUE,2
chr10,6383116,6383336,chr10:6383116-6383336,6383223,57,53.43351,15.17079,51.12509,NHA_ATAC_S3.filtered.BAM_peak_24582,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.41112926508145,TRUE,3
chr10,6401610,6402128,chr10:6401610-6402128,6401951,271,323.86865,35.31691,320.36002,NHA_ATAC_S3.filtered.BAM_peak_24585,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11.4634391374925,TRUE,4
chr10,11684863,11685091,chr10:11684863-11685091,11684982,174,183.80093,24.80671,180.86469,NHA_ATAC_S3.filtered.BAM_peak_25035,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.36028933551181,TRUE,4
